369465,2159,1.611,-15.54,4.66,-82.5
369485,2159,1.604,-15.62,4.653,-81.5
369505,2159,1.601,-15.6,4.653,-82
369525,2159,1.602,-15.57,4.653,-82
369545,2159,1.598,-15.46,4.653,-81.5
369565,2159,1.599,-15.41,4.653,-82
369585,2159,1.604,-15.41,4.653,-82
369605,2159,1.6,-15.28,4.647,-82
369625,2159,1.602,-15.21,4.647,-82.5
369645,2159,1.604,-15.19,4.647,-81.5
369665,2159,1.598,-15.23,4.647,-81.5
369685,2159,1.603,-15.35,4.647,-82.5
369705,2159,1.59,-15.5,4.647,-81.5
369725,2159,1.589,-15.37,4.633,-82
369745,2160,1.595,-15.33,4.633,-81.5
369765,2160,1.593,-15.35,4.633,-81.5
369785,2160,1.594,-15.42,4.633,-82
369805,2160,1.6,-15.33,4.633,-82
369825,2160,1.594,-15.42,4.633,-82
369845,2160,1.6,-15.32,4.656,-82
369865,2160,1.602,-15.25,4.656,-82
369885,2160,1.598,-15.28,4.656,-81.5
369905,2160,1.604,-15.29,4.656,-82
369925,2160,1.598,-15.2,4.656,-81.5
369945,2160,1.6,-15.25,4.656,-82
369965,2160,1.599,-15.17,4.661,-81.5
369985,2160,1.593,-15.21,4.661,-82
370005,2160,1.601,-15.41,4.661,-82
370025,2160,1.6,-15.33,4.661,-82
370045,2160,1.601,-15.42,4.661,-81.5
370065,2160,1.61,-15.44,4.661,-82.5
370085,2160,1.605,-15.52,4.656,-81.5
370105,2160,1.599,-15.69,4.656,-82
370125,2160,1.606,-15.58,4.656,-81.5
370145,2160,1.606,-15.61,4.656,-81.5
370165,2160,1.605,-15.75,4.656,-82
370185,2161,1.607,-15.88,4.656,-82
370205,2162,1.605,-16.1,4.647,-82
370225,2161,1.606,-16.15,4.647,-82
370245,2162,1.595,-16.33,4.647,-81.5
370265,2162,1.596,-16.19,4.647,-82
370285,2162,1.595,-16.03,4.647,-82
370305,2162,1.586,-15.99,4.647,-81.5
370325,2163,1.584,-15.92,4.653,-82
370345,2162,1.581,-15.9,4.653,-81.5
370365,2163,1.58,-15.94,4.653,-81.5
370385,2163,1.593,-15.81,4.653,-81.5
370405,2163,1.587,-15.95,4.653,-82
370425,2163,1.586,-15.95,4.653,-82
370445,2163,1.589,-16.03,4.653,-82
370465,2164,1.588,-16.07,4.653,-82
370485,2164,1.592,-16.1,4.653,-82
370505,2164,1.591,-16.07,4.653,-81.5
370525,2164,1.585,-16.15,4.653,-82
370545,2164,1.592,-15.92,4.653,-81.5
370565,2165,1.588,-15.86,4.648,-81.5
370585,2165,1.588,-15.81,4.648,-82.5
370605,2165,1.588,-15.6,4.648,-81.5
370625,2165,1.589,-15.75,4.648,-82
370645,2165,1.593,-15.81,4.648,-82
370665,2166,1.591,-15.75,4.648,-81.5
370685,2166,1.595,-15.67,4.653,-82
370705,2167,1.596,-15.38,4.653,-81.5
370725,2167,1.597,-15.67,4.653,-81.5
370745,2167,1.599,-15.54,4.653,-82
370765,2167,1.595,-15.19,4.653,-81.5
370785,2167,1.599,-15.37,4.653,-82
370805,2168,1.602,-15.21,4.647,-82
370825,2168,1.604,-15.28,4.647,-82
370845,2168,1.608,-15.16,4.647,-82
370865,2168,1.605,-15.06,4.647,-82
370885,2169,1.603,-15.25,4.647,-81.5
370905,2169,1.6,-15.06,4.647,-82
370925,2169,1.596,-15.57,4.647,-81.5
370945,2169,1.599,-15.54,4.647,-82.5
370965,2170,1.595,-15.5,4.647,-82
370985,2170,1.596,-15.57,4.647,-82.5
371005,2169,1.598,-15.39,4.647,-82
371025,2169,1.597,-15.79,4.647,-81.5
371045,2169,1.599,-15.71,4.633,-82
371065,2169,1.602,-15.64,4.633,-81.5
371085,2169,1.6,-15.67,4.633,-82
371105,2169,1.602,-15.62,4.633,-81.5
371125,2169,1.601,-15.98,4.633,-81.5
371145,2169,1.602,-15.99,4.633,-82
371165,2170,1.603,-16.17,4.66,-82
371185,2169,1.6,-16.31,4.66,-82
371205,2170,1.601,-16.35,4.66,-81.5
371225,2169,1.602,-16.64,4.66,-82
371245,2169,1.607,-16.59,4.66,-82
371265,2169,1.606,-16.7,4.66,-81.5
371285,2169,1.604,-16.7,4.653,-82
371305,2169,1.604,-16.54,4.653,-82
371325,2169,1.607,-16.6,4.653,-81.5
371345,2169,1.613,-16.59,4.653,-81.5
371365,2170,1.608,-16.77,4.653,-82
371385,2169,1.605,-16.85,4.653,-82.5
371405,2169,1.599,-16.64,4.647,-81.5
