10437602,2049,1.717,-5.14,4.782,-81.5
10437622,2050,1.722,-4.92,4.782,-81.5
10437642,2059,1.718,-4.96,4.782,-81
10437662,2065,1.719,-5.04,4.782,-81.5
10437682,2069,1.717,-4.79,4.782,-82
10437702,2072,1.715,-4.65,4.782,-81.5
10437722,2079,1.718,-4.33,4.776,-81
10437742,2082,1.711,-4.35,4.776,-82.5
10437762,2083,1.708,-4.37,4.776,-81.5
10437782,2084,1.719,-4.48,4.776,-82
10437802,2085,1.712,-4.56,4.776,-81.5
10437822,2085,1.716,-4.66,4.776,-81
10437842,2085,1.714,-4.58,4.801,-81
10437862,2086,1.713,-4.61,4.801,-81.5
10437882,2087,1.71,-4.73,4.801,-81.5
10437902,2089,1.718,-4.58,4.801,-81
10437922,2090,1.722,-4.44,4.801,-82
10437942,2092,1.721,-4.6,4.801,-81
10437962,2093,1.725,-4.75,4.782,-81
10437982,2094,1.72,-4.44,4.782,-81.5
10438002,2094,1.726,-4.31,4.782,-81.5
10438022,2096,1.735,-4.46,4.782,-82
10438042,2098,1.733,-4.56,4.782,-81.5
10438062,2100,1.733,-4.69,4.782,-81.5
10438082,2102,1.727,-4.98,4.784,-81.5
10438102,2104,1.725,-5.79,4.784,-82
10438122,2105,1.734,-5.99,4.784,-82
10438142,2107,1.738,-6.16,4.784,-82
10438162,2109,1.731,-6.45,4.784,-82.5
10438182,2111,1.736,-6.6,4.784,-81.5
10438202,2115,1.731,-6.74,4.782,-82
10438222,2117,1.733,-7.21,4.782,-81.5
10438242,2119,1.745,-7.37,4.782,-81.5
10438262,2122,1.745,-7.39,4.782,-81.5
10438282,2124,1.746,-7.37,4.782,-82.5
10438302,2127,1.756,-7.41,4.782,-81.5
10438322,2131,1.754,-7.52,4.769,-81.5
10438342,2134,1.734,-8.47,4.769,-81.5
10438362,2138,1.732,-8.63,4.769,-81.5
10438382,2140,1.74,-8.6,4.769,-82
10438402,2143,1.758,-8.62,4.769,-82.5
10438422,2146,1.759,-8.92,4.769,-81.5
10438442,2151,1.74,-9.22,4.801,-81.5
10438462,2153,1.735,-9.64,4.801,-81.5
10438482,2158,1.734,-9.96,4.801,-81.5
10438502,2162,1.734,-10.04,4.801,-81.5
10438522,2170,1.739,-10.64,4.801,-82
10438542,2174,1.744,-11.06,4.801,-81.5
10438562,2177,1.736,-11.5,4.78,-82
10438582,2181,1.742,-11.62,4.78,-81.5
10438602,2191,1.734,-12.03,4.78,-81
10438622,2195,1.729,-12.69,4.78,-82
10438642,2199,1.741,-13.21,4.78,-81.5
10438662,2204,1.736,-14,4.78,-81.5
10438682,2214,1.733,-14.7,4.785,-82
10438702,2218,1.73,-15.52,4.785,-81.5
10438722,2224,1.726,-15.83,4.785,-82
10438742,2229,1.734,-15.89,4.785,-82
10438762,2240,1.733,-16.43,4.785,-81.5
10438782,2244,1.73,-17.17,4.785,-82
10438802,2250,1.729,-17.7,4.782,-81.5
10438822,2255,1.728,-18.03,4.782,-81
10438842,2267,1.725,-18.98,4.782,-81.5
10438862,2273,1.717,-19.67,4.782,-81.5
10438882,2279,1.714,-20.59,4.782,-81
10438902,2285,1.725,-21.38,4.782,-81.5
10438922,2297,1.72,-22.06,4.782,-81.5
10438942,2304,1.723,-22.76,4.782,-82
10438962,2309,1.715,-23.49,4.782,-81
10438982,2316,1.701,-24.24,4.782,-81.5
10439002,2329,1.682,-25.03,4.782,-82
10439022,2335,1.691,-26.26,4.782,-81
10439042,2343,1.679,-26.85,4.801,-82
10439062,2350,1.688,-27.56,4.801,-81.5
10439082,2364,1.691,-28.08,4.801,-82
10439102,2369,1.686,-28.79,4.801,-81
10439122,2376,1.691,-29.4,4.801,-82
10439142,2384,1.693,-30.21,4.801,-81
10439162,2399,1.686,-31.59,4.793,-81.5
10439182,2407,1.696,-32.3,4.793,-81.5
10439202,2414,1.705,-32.8,4.793,-81
10439222,2421,1.71,-33.57,4.793,-81
10439242,2437,1.717,-33.93,4.793,-81.5
10439262,2445,1.7,-34.96,4.793,-82
10439282,2453,1.698,-35.73,4.792,-81.5
10439302,2461,1.696,-36.43,4.792,-82.5
10439322,2477,1.705,-36.98,4.792,-82
10439342,2485,1.707,-37.62,4.792,-81
10439362,2493,1.708,-38.84,4.792,-81
10439382,2501,1.706,-39.53,4.792,-81.5
10439402,2518,1.705,-40.68,4.782,-81.5
10439422,2527,1.703,-41.27,4.782,-81.5
10439442,2535,1.704,-41.43,4.782,-81.5
10439462,2544,1.696,-42.41,4.782,-81.5
10439482,2561,1.689,-43.31,4.782,-82
10439502,2571,1.683,-43.81,4.782,-81.5
10439522,2579,1.679,-44.78,4.801,-81
10439542,2588,1.694,-45.53,4.801,-82.5
10439562,2605,1.684,-46.21,4.801,-81.5
10439582,2615,1.681,-47.75,4.801,-81
10439602,2624,1.668,-48.76,4.801,-82
10439622,2634,1.659,-50,4.801,-81
10439642,2654,1.653,-51,4.782,-81.5
10439662,2663,1.653,-52.1,4.782,-81
10439682,2672,1.646,-53.24,4.782,-82
10439702,2691,1.652,-54.18,4.782,-82
10439722,2702,1.646,-55.61,4.782,-82
10439742,2712,1.651,-56.18,4.782,-81
10439762,2721,1.648,-57.18,4.779,-81.5
10439782,2731,1.648,-57.62,4.779,-81
10439802,2752,1.651,-58.49,4.779,-81.5
10439822,2762,1.656,-59.08,4.779,-81
10439842,2773,1.662,-59.69,4.779,-81
10439862,2783,1.654,-60,4.779,-81
10439882,2804,1.648,-60.71,4.772,-81.5
10439902,2815,1.648,-61.4,4.772,-81
10439922,2826,1.658,-62.14,4.772,-81.5
10439942,2836,1.661,-62.74,4.772,-82
10439962,2858,1.648,-63.41,4.772,-82
10439982,2869,1.637,-64.21,4.772,-82
10440002,2880,1.631,-64.94,4.782,-81.5
